Songs,Lyrics
I Wonder,"[Produced by Kanye West][Intro: Labi Siffre]Find your dreams come trueAnd I wonder if you knowWhat it means, what it meansAnd I wonder if you knowWhat it means, what it meansAnd I wonder if you knowWhat it means to find your dreamsAnd I wonder[Verse 1: Kanye West & Labi Siffre]I've been waitin' on this my whole life (And I wonder)These dreams be wakin' me up at night (And I wonder)You say I think I'm never wrong (And I wonder)You know what? Maybe you're right, aight?[Chorus: Labi Siffre]And I wonder if you knowWhat it means, what it meansAnd I wonder if you knowWhat it means to find your dreamsAnd I wonder[Verse 2: Kanye West & Labi Siffre]You say he get on your fuckin' nerves (And I wonder)You hope that he get what he deserves—word! (And I wonder)Do you even remember what the issue is?You just tryin' to find where the tissue isYou can still be who you wish you isIt ain't happen yet, and that's what intuition is (And I wonder)When you hop back in the carDrive back to the crib, run back to they armsThe smokescreens, the chokes and the screamsYou ever wonder what it all really means?"
Good Life,"[Produced by DJ Toomp, Kanye West, and Mike Dean][Chorus: Kanye West, T-Pain & Both]Like we always do at this timeI go for mine, I got to shine(Now throw yo' hands up in the sky)I g-go for mine, I got to shine(Now throw yo' hands up in the sky)I'ma get on this TV, mama, I'maI'ma put shit downAyy, ayy, ayy, ayyAyy, ayy, ayy, I'm good[Verse 1: Kanye West & T-Pain]Welcome to the good life, where niggas that sell DWon't even get pulled over in they new VThe good life, let's go on a livin' spreeShit, they say the best things in life are freeThe good life, it feel like AtlantaIt feel like L.A., it feel like MiamiIt feel like NY, summertime Chi', ah(Now throw yo' hands up in the sky)So I roll through goodY'all pop the trunk, I pop the hood, FerrariAnd she got the goodsAnd she got that ass, I got to look, sorryYo, it's got to be 'cause I'm seasonedHaters give me them salty looks, Lawry's50 told me, ""Go 'head, switch the style upAnd if they hate then let 'em hate and watch the money pile up""The good life"
Can't Tell Me Nothing,
Barry Bonds,"[Verse 1: Kanye West]It's what you all been waiting for, ain't it?What people pay paper for, damn itThey can't stand it, they want something newSo let's get reacquainted, became the hood favoriteI can't even explain it, I surprise myself, too[Chorus: Kanye West]Life of a Don, lights keep glowin'Comin' in the club wit' that fresh shit onWit' somethin' crazy on my arm, uh-huh-humAnd here's another hit, Barry Bonds[Refrain: Kanye West]We outta here, baby! We outta here, baby!We outta here, baby![Verse 2: Kanye West]Dude! Fresh off the plane—Konnichiwa, bitchesTurn around another plane, my passport on pivotAsk for it, I did it—that asshole done did itTalked it, then he lived it, spit it, then he shit itI don't need writers, I might bounce ideasBut only I could come up with some shit like thisI done played the underdog my whole careerI've been a very good sport, haven't I, this year?They say, ""He goin' crazy and we seen this before""But I'm doing pretty good as far as geniuses goAnd I'm doing pretty hood in my pink poloNigga, please, how you gon' say I ain't no Lo-head?'Cause my Dior got me more model head?I'm insulted, you should go 'headAnd bow so hard 'til your knees hit your foreheadAnd the flow just hit code redTop five MCs, you ain't gotta remind meTop five MCs, you gotta rewind meI'm high up on the line, you could get behind meBut my head's so big, you can't sit behind me (Sit behind me)"
Drunk and Hot Girls,"[Intro: Mos Def]La-da-da-da-da-da-da-da-da-da-da-daBlap[Chorus: Kanye West]We go through too much bullshitJust to mess with these drunk and hot girlsWe go through too much bullshitJust to mess with these drunk and hot girls[Post-Chorus: Kanye West]We goThrough tooMuch shitTo messMess withThese drunkAll of these drunk and hot girls[Verse 1: Kanye West]Driving 'round town, looking for the best spotFor the drunk and hot girlsUp in the club, look at here what we gotSome drunk and hot girlsStop dancing with your girlfriend and come dance with meStop talking 'bout your boyfriend since he is not meStop running up my tab 'cause these drinks is not freeYou drunk and hot girl"
Flashing Lights,"[Intro: Connie Mitchell]Flashing lightsFlashing lightsFlashing lightsFlashing lights[Verse 1: Kanye West]She don't believe in shootin' starsBut she believe in shoes and carsWood floors in the new apartmentCouture from the store's departmentsYou more like love to start shitI'm more of the trips to FloridaOrdered the hors d'oeuvres, views of the waterStraight from a page of your favorite authorAnd the weather so breezyMan, why can't life always be this easy?She in the mirror dancin' so sleazyI get a call like, ""Where are you, Yeezy?""And try to hit you with the ol-wu-wopte'Til I got flashed by the paparazziDamn, these niggas got meI hate these niggas more than the Nazis[Chorus: Dwele & Connie Mitchell]As I recall, I know you love to show offBut I never thought that you would take it this farBut what do I know?Flashing lightsWhat do I know? KnowFlashing lights"
Everything I Am,"[Produced by Kanye West][Chorus]DamnHere we go againCommon passed on this beat, I made it to a jamNow everything I'm not made me everything I amDamn (Here we go)Here we go againPeople talkin' shit, but when the shit hit the fanEverything I'm not made me everything I am[Verse 1]I'll never be picture-perfect, BeyoncéBe light as Al B or black as ChaunceyRemember him from Blackstreet? He was black as the street wasI'll never be laid back as this beat wasI never could see why people'll reach aFake-ass facade that they couldn't keep upYou see how I creeped up? You see how I played a bigRole in Chicago like Queen Latifah?I'll never rock a mink coat in the wintertime like Killa CamOr rock some mink boots in the summertime like will.i.amLet me know if you feel it, man'Cause everything I'm not made me everything I am"
The Glory,"[Intro: Kanye West & Laura Nyro]In my soulGonna take you to the gloryGoal, in my mind I can't study war, yeah, myI can't study war, yeah, myI can't study war, yeah, myI can't study war, yeah, my[Chorus: Kanye West & Choir]Now where the South Side?I can't study, no, yeah, myI can't study, no, yeah, myNow where the West Side?I can't study, no, yeah, myI can't study, no, yeah, my[Verse 1: Kanye West]Can I talk my shit again? Even if I don't hit again?Dawg, are you fucking kidding?My hat, my shoes, my coat, Louis Vuitton stitchWith Donatella Versace, that's Louis Vuitton, bitchI think Hennessy, I drink, I'm goneOff that Bacardí Limon and Corona, I'm zonin'Class back in session so I upped it a gradeIn two years, Dwayne Wayne became Dwyane WadeAnd hey, please don't start meI'm like Gnarls Barkley meets Charles BarkleyI'm pop the Barkers, I'm hood the ParkersWhile y'all was in limbo, I raised the bar upI touched on everythingMarried to the game, rock a chain 'steada wedding ringY'all bridesmaids catch the garterOn nights when 'Ye romance, cameras flash so muchThat I gotta do that Yayo danceI'm on a world tour with Common, my manAfter each and every show, a couple dykes in the vanIt's easy, the hood love to listen to Jeezy and WeezyAnd, oh, yeah, Yeezy, I did it for the glory"
Homecoming,"[Intro: Kanye West]YeahAnd you say Chi city!Chi city! Chi city![Chorus: Chris Martin & Kanye West]I'm comin' home againDo you think about me now and then? (Yeah)Do you think about me now and then?'Cause I'm comin' home again (Ow!)-Min' home again[Verse 1: Kanye West]I met this girl when I was three years oldAnd what I loved most, she had so much soulShe said, ""Excuse me, little homie, I know you don't know me, butMy name is Windy and I like to blow trees,"" andFrom that point, I'd never blow her offNiggas come from out of town, I like to show her offThey like to act tough, she like to tow 'em offAnd make 'em straighten up their hat 'cause she know they softAnd when I grew up, she showed me how to go downtownIn the nighttime, her face lit up, so astoundin'I told her in my heart is where she'll always beShe never messed with entertainers 'cause they always leaveShe said, ""It felt like they walked and drove on me""Knew I was gang affiliated, got on TV and told on meI guess that's why last winter she got so cold on meShe said, ""Ye, keep makin' that, keep makin' that platinum and gold for me"""
Big Brother,"[Produced by DJ Toomp][Intro]Stadium status[Chorus]My big brother was B.I.G.'s brotherUsed to be Dame and Biggs' brotherWho was Hip Hop brother, who was No I.D. friendNo I.D. my mentor, now let the story begin[Verse 1]It's the Hard Knock Life Tour, selloutPicture us in the mall, coppin' Iceberg and yell out ""Jigga""Yeah, that's what we'll yell out, yell outYou know the name do I gotta spell out or tell 'boutJ-A-Y, and 'Ye so shyThat he won't even step to his idol to say hiStanding there like a mime and let the chance pass byBack of my mind, ""He could change your lifeWith all these beats I did, at least let him hear itAt least you can brag to ya friends back at the gig""But he got me out my momma cribThen he help me get my momma a crib[Chorus]Big brother was B.I.G.'s brotherUsed to be Dame and Biggs' brotherWho was Hip Hop brother, who was No I.D. friendNo I.D. my mentor, now let the story begin, beginLet the story beginIf you feel the way I feel, why don't you wave your hands?"
Good Night,"[Refrain: Mos Def]I'm not sure anymore, 'ymoreWho is knocking at my door, doorAll the faces that I knowJa make them so sunny and true[Chorus: Mos Def, Kanye West]I don't wanna say goodbye to youSo I'll just say good night to youMy people, no goodbyes to you (Uh)I'm just gon' say good night[Verse: Kanye West]Good nightRight now, I can see it so vividLike it was just yesterday, like I could relive itMe and my grandparents on a field tripAnd I'm the lil' kid tryna touch the exhibitsBut it'll fade 'fore I get to get a hold of thatMan, I wish I could stop time like a photographEvery joke that they told, I'd know to laughMan (Man), I wouldn't let a moment passWhat do it mean when you dream that you fallin'?What do it mean when you dream that you ballin'?What do it mean when you never dream at all thenAnd you don't really know 'cause you can't recall them?It's sorta fly you get a chance to say ""Hi"" toPeople you never got a chance to say ""Bye"" toMaybe you could pull 'em up outta your dreamsInto real life (Real life), if you try toSo close (So close), but so far (But so far)And so far (And so far), no cigar (No cigar)We can't dwell on the past, all we got is todaySo I'ma live like it's no tomorrow, no goodbyes (Goodbyes...)"
Wake Up Mr. West,
Heard 'Em Say,
Touch The Sky,"[Chorus: Kanye West]I gotta testifyCome up in the spot lookin' extra fly'Fore the day I die, I'ma touch the skyGotta testifyCome up in the spot lookin' extra fly'Fore the day I die, I'ma touch the sky[Verse 1: Kanye West]Back when they thought pink Polos would hurt the RocBefore Cam got the shit to popThe doors was closedI felt like Bad Boy's street team: I couldn't work the locksNow let's go, take 'em back to the planMe and my momma hopped in that U-Haul vanAny pessimists, I ain't talk to themPlus I ain't have no phone in my apart-a-mentLet's take 'em back to the clubLeast about an hour I stand on lineI just wanted to dance, I went to Jacob an hourAfter I got my advance, I just wanted to shineJay favorite line: ""Dawg, in due time!""Now he look at me, like, ""Damn, dawg! You where I am!""A hip-hop legendI think I died in that accident, ‘cause this must be Heaven"
Gold Digger,"[Produced by Kanye West and Jon Brion][Intro: Jamie Foxx and Kanye West]She take my money when I'm in needYeah, she's a triflin' friend indeedOh, she's a gold diggerWay over town that digs on me(Uh)[Chorus: Kanye West & (Jamie Foxx)](She give me money) Now, I ain't sayin' she a gold digger(When I'm in need) But she ain't messin' with no broke niggas(She give me money) Now, I ain't sayin' she a gold digger(When I'm in need) But she ain't messin' with no broke niggas[Refrain: Kanye West & (Jamie Foxx)](I gotta leave) Get down, girl, go 'head, get down(I gotta leave) Get down, girl, go 'head, get down(I gotta leave) Get down, girl, go 'head, get down(I gotta leave) Get down, girl, go 'head[Verse 1: Kanye West]Cutie the bomb, met her at a beauty salonWith a baby Louis Vuitton under her underarmShe said, ""I can tell you rock, I can tell by your charmFar as girls, you got a flockI can tell by your charm and your arm""But I'm lookin' for the one, have you seen her?My psychic told me she'll have a ass like SerenaTrina, Jennifer Lopez, four kidsAnd I gotta take all they bad asses to ShowBiz?Okay, get your kids, but then they got their friendsI pulled up in the Benz, they all got up inWe all went to din' and then I had to payIf you fuckin' with this girl, then you better be paidYou know why? It take too much to touch herFrom what I heard she got a baby by BustaMy best friend said she used to fuck with UsherI don't care what none of y'all say, I still love her"
Skit #1,
Drive Slow,"[Intro: Kanye West]Boom, b-boom, b-boom-boom[Chorus: Kanye West]Drive slow, homieDrive slow, homieYou never know, homie, might meet some hoes, homieYou need to pump your brakes and drive slow, homie[Verse 1: Kanye West]My homie Mali used to stay at 79th and MayOne of my best friends from back in the dayDown the street from Calumet, a school full of StonesHe nicknamed me ""K-Rock"" so they'd leave me aloneBulls jacket with his hat broke way offAnd walked around the mall with his radio face offPlus he had the spinner from his Daytons in his handKeys in his hand, reason again to let you know he's the manBack when we rocked Ellesses, he had dreams of CapricesDrove by the teachers, even more by policesHow'd he get the cash? The day his father passed awayLeft him with a lil' something, sixteen, he was stuntin'Al B. Sure! nigga with the hair all wavyHit Lake Shore, girls go all crazyHit the freeway, go at least 'bout eightyBoned so much that summer, even had him a babySee back— back then— then, if you had a carYou was the Chi-Town version of BabyAnd I was just a virgin, a babyOne of the reasons I looked up to him crazyI used to love to play my demo tape when the system yankedFelt like I was almost signed when the shit got crankedWe'd take a Saturday and just circle the mallThey had them Lincolns and auroras, we was hurtin’ 'em allWith the girls, a lot of flirting involved, but, dawgFuck all that flirting, I'm tryna get in some drawersSo put me on with these hoes, homieHe told me, ""Don't rush to get grown, drive slow, homie"""
My Way Home,"[Produced by Kanye West][Intro: Common & Gil Scott-Heron]YeahI'm on my way home[Verse: Common]They say home is where the hate is, my dome is where fate isI stroll where souls get lost like VegasSeen through the eyes of rebel glassesPray to God that my arms reach the massesThe young smoke grass in grassless junglesRubber band together in cashless bundlesWe wear strugglin' chains, divided only hustle remainsMakin' sense of it, we hustle for changeRevolution ain't a game, it's another name for life fightin'Someone to stay in they corner like Mike TysonHypes fightin' for hits to heighten they hellDon't he know he could only get as high as he fell?Show money becomes bail, relationships become jailChildren are unheldI wish love was for sale, ""Behold the Pale - Horse""Got me trapped like R. Kel', I bail and it—[Outro: Gil Scott-Heron]Might not be such a bad idea if I never, never went home againI'm on my way homeI left three days ago, but no one seems to know I'm goneHome is where the hatred is; home is filled with pain and itMight not be such a bad idea if I neverNever went home again"
Crack Music,"[Produced by Kanye West & Jon Brion][Chorus: Kanye West, The Game, & Choir]That's that crack music, niggaThat real Black music, niggaLa la la la la la la laLa la la, la la laThat's that crack music, niggaThat real Black music, niggaLa la la la la la la laLa la la, la la la[Verse 1: Kanye West]How we stop the Black Panthers?Ronald Reagan cooked up an answerYou hear that? What Gil Scott was hearin'When our heroes or heroines got hooked on heroinCrack raised the murder rate in D.C. and MarylandWe invested in that, it's like we got Merrill lynchedAnd we been hangin' from the same tree ever sinceSometimes, I feel the music is the only medicineSo we, cook it, cut it, measure it, bag itSell it, the fiends cop it, nowadays, they can't tell ifThat's that good shit, we ain't sure, manPut the CD on your tongue—yeah, that's pure, man"
Roses,"[Produced by Kanye West and Jon Brion][Verse 1: Kanye West]I know it's past visiting hoursBut can I please give her these flowers?The doctor don't wanna take proceduresHe claim her heart can't take the anesthesiaIt'll send her body into a seizureThat lil' thing by the hospital bed, it'll stop beepin'Hey, chick, I'm at a loss for wordsWhat do you say at this time? Remember when I was nine?Tell her everything gon' be fine, but I be lyin'Her family cryin', they want her to live, and she tryin'I'm arguin', like, ""What kind of doctor can we fly in?""You know the best medicine go to people that's paidIf Magic Johnson got a cure for AIDSAnd all the broke motherfuckers passed awayYou telling me if my grandma's in the NBARight now, she'd be okay?But since she was just a secretaryWorking for the church for 35 yearsThings 'sposed to stop right here?My grandfather tryin' to pull it together, he strongThat's where I get my confidence fromI asked the nurse, ""Did you do the research?""She asked me, ""Can you sign some t-shirts?""""Bitch, is you smokin' reefer?You don't see that we hurt?"" But still–"
Bring Me Down,"[Produced by Kanye West and Jon Brion][Chorus: Brandy]I always knew that one dayThey'd try to bring me downWay down, way downOne day, they'd try to bring me downAlways knew that one dayThey'd try to bring me downWay downThey'd try to bring me down[Verse: Kanye West]We goin' to Mass today, we have to prayBesides what the pastor say?I have to say, since Pac passed awayMost you rappers don't even deserve a track from meYou see, if you ever wanted to ever be anythingThere'd always be somebody that'll shoot down any dreamThere'll always be haters, that's the way it isHater niggas marry hater bitches and have hater kidsBut they gon' have to take my life 'fore they take my drive'Cause when I was barely livin', that's what kept me aliveJust the thought that maybe it could be better than what we at at this timeMake it out of this grind, 'fore I'm out of my mindAnd get some leeway on the ""He say, she say""Your girl don't like me, how long has she been gay?Spanish girls say, ""Yo, no hablo inglés""And everybody want to run to me for their sing-leIt's funny how these wack niggas need my helpWasn't around when I couldn't feed myselfDawg, if I was you, I wouldn't feel myselfDawg, if I was you, I'd kill myselfMade a mil' myself and I'm still myselfAnd I'ma look in the mirror if I need some helpNow I'll speak from the heart, y'all all frontin'Everybody feel a way about K but at least y'all feel something"
Addiction,"[Intro: Etta James]You make me smile with my heart, oh[Chorus: Kanye West & Etta James]Why everything that's supposed to be bad make me feel so good?Everything they told me not to is exactly what I wouldMan, I tried to stop, man, I tried the best I couldBut you make me smile[Verse 1: Kanye West & Etta James]What's your addiction? Is it money? Is it girls? Is it weed?I've been afflicted by not one, not two, but all threeShe's got the same thing, about me, but more, about usShe's coming over, so I guess, that means, I'm her drugs(You make me smile)Just let me peek now, I mean, damn, I'm so curiousShe's got a lover, so the lies, and the lust, is a rushTime's of the essence, I need you to be spontaneousRoll up the doja, Henny and Co-Co-Coca-Cola(You make me smile with my heart, ohh)Then I'm co-coming over 'cause it's ne-never over[Chorus: Kanye West & Etta James]Why everything that's supposed to be bad make me feel so good?Everything they told me not to is exactly what I wouldMan, I tried to stop, man, I tried the best I couldBut you make me smile"
Skit #2,
Diamonds From Sierra Leone - Remix,
We Major,"[Produced by Jon Brion, Kanye West & Warryn Campbell][Chorus: Really Doe]You motherfuckers better do your job and roll upAnd watch how we roll up, andI can't control it, can't hold it, it's so nutsI take a sip of that 'gnac, I wanna fuckI take a hit of that chronic, it got me stuckBut really, what's amazing is how I keep blazingTowel under the door, we smoke until the day's endPuff-puff, then pass, don't fuck up rotationHpnotiq for Henny? Now, nigga, that's a chaserTurn nothing to something, now, pimping, that's a saviorBest things are green, now, pimpin', get your paperHigh off the ground, from stair to skyscraperCool out, thinking we local, c'mon, homie, we major[Post-Chorus: Kanye West]We major? C'mon, homie, we majorWe major? C'mon, homie, we majorWe major! C'mon, homie, we majorWe major! C'mon[Verse 1: Kanye West]Feeling better than some head on a Sunday afternoonBetter than a chick that say ""Yes"" too soonUntil you have a daughter; that's what I call karmaAnd you pray to God she don't grow breasts too soonProjects tore up, gang signs is thrown upNiggas hats broke off, that's how we grow upWhy else you think shorties write rhymes? Just to blow up?Get they first car and then, IRS show upHe ain't never had shit, but he had that nineNigga come through flicking and he had that shinePut two and two together and a little bad weatherGon' be your whole family on that funeral lineAsked the reverend, ""Was the strip clubs cool?If my tips helped send a pretty girl through school?""That's all I want, like winos want they good whiskeyI ain't in the Klan, but I brought my hood with me"
Skit #3,
Hey Mama,"[Chorus](Hey, Mama, ah, ow)I wanna scream so loud for you, 'cause I'm so proud of you, and uhLet me tell you what I'm about to do(Hey, Mama)I know I act a fool, but I promise you, I'm goin' back to school, andI appreciate what you allowed for me, and II just want you to be proud of me(Hey, Mama)[Verse 1]I wanna tell the whole world about a friend of mineThis little light of mine, I'm finna let it shineI'm finna take y'all back to them better timesI'm finna talk about my mama if y'all don't mindI was three years old when you and I moved to the Chi'Late December, harsh winter gave me a coldYou fixed me up something that was good for my soulFamous homemade chicken soup, can I have another bowl?You work late nights just to keep on the lightsMommy got me training wheels so I could keep on my bikeAnd you would give anything in this worldMichael Jackson leather and a glove, but didn't give me a curlAnd you never put no man over meAnd I love you for that, mommy, can't you see?Seven years old, caught you with tears in your eyes'Cause a nigga cheatin', telling you lies, then I started to cryAs we knelt on the kitchen floorI said, ""Mommy, I'ma love you 'til you don't hurt no moreAnd when I'm older, you ain't gotta work no moreAnd I'ma get you that mansion that we couldn't afford""See, you're unbreakable, unmistakableHighly capable lady that's makin' lootA livin' legend too, just look at what Heaven doSent us an angel, and I thank you, Mama"
Celebration,"[Chorus]Yeah, you know what this isIt's a celebration, bitchesGrab a drink, grab a glassAfter that, I grab yo' ass[Verse 1]Why you actin' all shy and all?Why is y'all lyin' for?""I never did this before..."" Stop thatWhat, you want some Patron? I got thatI mean, I promise y'all, you fine and allAnd your girlfriend, she kinda rawBut she not like youNo, she not like youRight now, I need you to mute all the monologueAll that talking is gon' give me a TylenolYou put a nigga to sleep, I'm tired of y'allRight now, The Louis Vuitton Don is signing off[Pre-Chorus]But, I just thought you should knowWe hit the liquor storeGot some Cris' and some Mo'And we about to let it flow, oh, ohHad some problems beforeBut see, we let 'em goGot an ounce of that 'droAnd we about to let it blow, oh, oh"
Skit #4,
Gone,"[Produced by Kanye West][Intro: Otis Redding and Kanye West]Wished I had told ooh was (the) only one (uh oh)But it's too lateIt's too lateHe's gone[Verse 1: Kanye West]You sweat her, and I ain't talkin 'bout a CoogiYou a big L, and I ain't talkin 'bout Cool JSee me at the airport, at least twenty LouisTreat me like the Prince and this my sweet brother Numpsay(Brother Numpsay!) Groupies say I'm too choosyTake 'em to the show and talk all through the moviesSay she want diamonds, I took her to Ruby TuesdaysIf we up in Fridays, I still have it my way, gone![Hook 1: Kanye West and Cam'ron]GoneWe striving homeGoneI ride on chrome[Verse 2: Kanye West]Y'all don't want no prob' from meWhat you rappers could get is a job from meMaybe you could be my intern, and in turnI'll show you how I cook up summer in the winterAaron love the raw dog, when will he learnCaught something on the Usher tour, he had to let it burnPlus, he already got three chil'r'nArguin' over babysitters like, ""Bitch, it's your turn""""Damn, Ye, it'd be stupid to diss youEven your superficial raps is super-official""R-R-R-Roc Pastelle with Gucci onWith TVs in the ride, throw a movie onSaid he couldn't rap, now he at the top with Doobie Long'Cause I dookied on any song that they threw me on, gone"
Diamonds From Sierra Leone - Bonus Track,
Intro,"[Intro: DeRay Davis]Kanye, can I talk to you for a minute?Me and the other faculty members was wonderin'Could you do a lil' som—Somethin' beautiful, somethin' that the kids is gon' love when they hear itThat's gon' make them start jumpin' up and down, and sharin' candy and stuffThink you could probably do somethin', for the kids, for graduation to sing?"
We Don't Care,
Graduation Day,"[Spoken: DeRay]What in the fuck was that, Kanye?! I told you to do some shit for the kids! You can give me your muthafuckin' graduation ticket right now! You give me this muthafuckin' robe before you catch some senioritis! You will not walk 'cross that stage! You won’t slide across that stage! Motherfucker can’t pull you 'cross that muthafuckin' stage, Kanye! Who told you? See, I told you to do somethin' uplifting! I’m tryna get you out here with these white people and this how you're gon' do me? You know what, you's a nigga. And I don’t mean that in no nice way. Had lil' kids sing about the shit—y'know, the joke's on you. You throw your m**** hands in the air and wave goodbye to every-****-body! 'Cause you getting the **** out of this campus! What the f**k you gon' do now?[Verse: John Legend]I'm no longer confused, but don't tell anybodyI'm about to break the rules, but don't tell anybodyI got something better than school, so don't tell anybodyMy momma would kill me, so don't tell anybodyShe wants me to get a good ass job, just like everybodyShe ain't walked in my shoes, I'm just not everybody"
All Falls Down,"[Chorus: Syleena Johnson & Kanye West]Oh, when it all, it all falls downYeah, this the real one, babyI'm tellin' you all, it all falls downUh, Chi-Town, stand up!Oh, when it all, it all falls downSouthside, SouthsideWe gon' set this party off rightI'm tellin' you all, it all falls downWestside, WestsideWe gon' set this party off rightOh, when it all[Verse 1: Kanye West]Man, I promise, she's so self-consciousShe has no idea what she doin' in collegeThat major that she majored in don't make no moneyBut she won't drop out, her parents'll look at her funnyNow, tell me that ain't insecurrThe concept of school seems so securrSophomore, three yurrs, ain't picked a carurrShe like, ""Fuck it, I'll just stay down hurr and do hair""'Cause that's enough money to buy her a few pairsOf new Airs, 'cause her baby daddy don't really careShe's so precious with the peer pressureCouldn't afford a car, so she named her daughter AlexisShe had hair so long that it looked like weaveThen she cut it all off, now she look like EveAnd she be dealin' with some issues that you can't believeSingle black female addicted to retail, and well"
I'll Fly Away,
Spaceship,"[Produced by Kanye West][Chorus: Kanye West & GLC]I've been working this grave-shiftAnd I ain't made shit (Yeah, yeah)I wish I could (Me too)Buy me a spaceship and fly (Swear I do)Past the sky, ohGLC feel you, baby—I feel you, manI've been working this grave-shiftAnd I ain't made shitI wish I couldBuy me a spaceship and flyPast the sky (Man, man, man...)Oh, oh, oh[Verse 1: Kanye West]If my manager insults me againI will be assaulting himAfter I fuck the manager upThen, I'm gonna shorten the register upLet's go back, back to the GapLook at my check—wasn't no scratchSo if I stole, wasn't my faultYeah, I stole—never got caughtThey take me to the back and pat meAsking me about some khakisBut let some Black people walk inI bet you they show off their token blackieOh, now they love Kanye""Let's put him all in the front of the store""So I'm on breakNext to the ""No Smoking"" sign with a blunt in the mallTaking my hits, writing my hitsWriting my rhymes, playing my mindThis fucking job can't help himSo I quit; y'all welcomeY'all don't know my struggleY'all can't match my hustleYou can't catch my hustleYou can't fathom my love, dudeLock yourself in a roomDoing five beats a day for three summersThat's A Different World like Cree Summer'sI deserve to do these numbers""The kid that made that deserves that Maybach!""So many records in my basementI'm just waitin' on my spaceship, blaow!"
Jesus Walks,"[Intro]We at warWe at war with terrorism, racismBut most of all we at war with ourselves[Chorus](Jesus, walk)God show me the way because the Devil's tryna break me down(Jesus, walk with me)[Verse 1]You know what the Midwest is? Young and restlessWhere restless (Niggas) might snatch your necklaceAnd next these (Niggas) might jack your LexusSomebody tell these (Niggas) who Kanye West isI walk through the valley of the Chi where death isTop floor the view alone will leave you breathless *gasps*Try to catch it *gasps* it's kinda hardGetting choked by detectives, yeah, yeah, now check the methodThey be askin' us questions, harass and arrest usSayin' ""We eat pieces of shit like you for breakfast""Huh? Y'all eat pieces of shit? What's the basis?We ain't going nowhere but got suits and casesA trunk full of coke, rental car from AvisMy mama used to say only Jesus can save usWell mama I know I act a foolBut I'll be gone 'til November, I got packs to moveI hope"
Never Let Me Down,"[Intro: Jay-Z]Oh babyHahahahaTurn the motherfuckin' music up[Chorus]When it comes to being true, at least true to meOne thing I've found, one thing I foundOh no, you'll never let me downGet up, I get down, get up, I get downGet up, I get down, get up, I get downGet up, I get down, get up, I get down[Over Chorus: Jay-Z]That's right, it's what I do!C'mon, uh-huhNah, you know I never let you down!Gyeah, gyeah, yuh[Verse 1: Jay-Z]Yo, first, I snatched the streets, then I snatched the chartsFirst, I had they ear, now I have they heartRappers came and went, I've been here from the startI seen them put it together, watched them take it apartSeen the Rovers roll up with ribbonsI seen them re-po'd, re-sold, then re-drivenSo when I reload, he holds number one positionWhen you hot, I'm hotAnd when your feet cold, mines is sizzlingIt's plain to see, niggas can't fuck with me'Cause I'ma be that nigga for lifeThis is not an image, this is God-givenThis is hard-livin', mixed with Cristal sippin'It's the most consistent, HovGive you the most hits you can fit inside a whole disc andNigga, I'm home on these charts, y'all niggas visitin'It's Hov tradition, Jeff Gordon of rapI'm back to claim pole position, holla at ya boy"
Get Em High,"[Intro: Kanye West]Uh-uh, I'm tryna catch the beatUh, I'm tryna catch the beatI'm tryna catch the beat, uh-uh, uh-uhI'm tryna catch the beat[Chorus: Kanye West]N-now, th-th-throw your motherfuckin' handsGet 'em highAll the girls pass the weed to your motherfuckin' manGet 'em highNow I ain't never tell you to put down your handsKeep 'em highAnd if you're losin' your high, then smoke againKeep 'em high (Now, now, now, now)[Verse 1: Kanye West]My flow is in the pocket like wallets, I got the bounce like hydraulicsI can't call it, I got the swerve like alcoholicsMy freshman year, I was going through hella problems'Til I built up the nerve to drop my ass up out of collegeMy teacher said I's a loser, I told her, ""Why don't you kill me?I give a fuck if you fail me, I'm gonna followMy heart"", and if you follow the chartsOr the plaques or the stacks, you ain't gotta guess who's back, you see?I'm so Chi' that you thought I was bashfulBut this bastard's flow will bash your skullAnd I will cut your girl like Pastor Tro'And I don't usually smoke, but pass the 'droAnd I won't give you that money that you askin' forWhy you think me and Dame cool? We assholesThat's why we hear your music and fast forward'Cause we don't wanna hear that weak shit no mo'"
Workout Plan,"[Girl #1, Girl #2, Girl #3, Girls #2 and 3]Ayy, wassup, girl?Hey, girlHey, how you doin'?Ayy, you know I finally got my shit togetherBeen watchin' that workout plan, girl!Well, you lookin' all good and stuff, you got you a—Girl, I know it's that workoutGot you a six pack Shakur and stuffDon't say itMy nigga, my nigga, I'm tired of puttin' 1-8-7 in my nigga's pagerThat shit ain't workin' no moreGirl, you know I'ma video ho-ffesional now (Girl)Since I copped this new workout plan, my shit is rightRollin' in Lexus, Acuras, everything, girlGirl, you need to let me know how I can cop that, how much is it?Girl, you know you ain't gotta pay for nothin' around me, I'm the bootleg queen I'll give it to you for Free.99FREE.99?!That's my dawg, you always lookin' out for usMy nigga, now I can throw away my bus pass and shit, oh my GodOh, shit"
